Date,Open,High,Low,Close,Volume
2024-03-06,697.6884,707.0814,697.6884,702.0928,42409530
2024-03-07,703.5043,706.2054,701.5089,703.7963,49348046
2024-03-11,695.9606,703.7232,692.5538,694.8899,50531094
2024-03-12,697.9073,712.5079,695.5956,710.3422,65418454
2024-03-13,713.2379,716.2067,705.743,710.7559,63067454
2024-03-14,711.5832,713.4813,702.9202,708.3467,52432158
2024-03-15,705.6943,710.2205,701.9225,706.9841,143613804
2024-03-18,704.2342,708.6144,698.7834,703.7719,21437856
2024-03-19,698.6374,706.8624,698.6374,705.378,36183594
2024-03-20,705.232,706.4974,693.3569,696.4717,43606094
2024-03-21,702.0928,706.3026,700.0001,703.6259,28922860
2024-03-22,701.3142,706.0594,699.7325,702.2145,45980326
2024-03-26,694.5979,699.8297,692.1401,693.7219,56844290
2024-03-27,692.8215,704.6966,691.7021,701.1681,62168668
2024-03-28,701.1681,710.8045,701.1681,704.6723,55592142
2024-04-01,709.5878,717.2775,708.4198,715.6714,25199570
2024-04-02,713.0676,727.5222,712.1429,720.3679,41225446
2024-04-03,716.4501,727.9115,716.1094,721.4143,45584386
2024-04-04,731.9753,744.6292,731.9753,743.4611,88935066
2024-04-05,749.0094,756.553,744.7022,754.1439,59055902
2024-04-08,756.7719,757.8913,750.2504,752.7081,20482940
2024-04-09,756.7234,756.7234,749.6421,753.6573,21884494
2024-04-10,754.3143,754.3143,746.0649,747.7197,27807400
2024-04-12,740.249,744.5561,736.5744,739.2512,41084208
2024-04-15,728.8363,734.8955,726.1595,727.4492,23415248
2024-04-16,723.7017,736.3069,721.3899,734.5305,20744886
2024-04-18,734.7982,739.2026,725.6728,727.4492,34234884
2024-04-19,723.4827,747.0383,720.4166,745.2619,34576434
2024-04-22,757.9644,757.9644,734.0681,735.9661,42298438
2024-04-23,742.8285,742.9258,731.6103,733.7274,26827060
2024-04-24,737.3289,740.614,734.4331,735.7228,22441580
2024-04-25,733.0704,739.6163,733.0704,735.2605,35445204
2024-04-26,739.665,743.6558,732.7297,734.7982,24854694
2024-04-29,737.3289,746.7949,733.2164,744.3859,36093350
2024-04-30,744.2398,749.2527,737.2802,739.811,52307382
2024-05-02,740.7357,748.036,739.9327,745.7242,33475006
2024-05-03,746.2109,749.788,733.5327,739.5676,31865242
2024-05-06,740.7357,746.8193,738.3753,741.0521,28793396
2024-05-07,740.7113,741.7334,732.0484,733.0217,28480602
2024-05-08,728.0575,728.5442,720.4652,721.5846,41687862
2024-05-09,717.8371,723.58,703.4069,704.4776,46281278
2024-05-10,709.9043,716.2929,703.8857,709.3616,27276608
2024-05-13,706.4509,720.1656,705.6123,717.9209,27047202
2024-05-14,716.4409,722.9775,715.4789,720.7328,25665142
2024-05-15,720.1161,720.1161,708.3256,709.6575,38931996
2024-05-16,713.3822,721.5222,708.1776,720.3875,34945236
2024-05-17,713.4562,724.2109,713.4562,722.2869,20920190
2024-05-21,715.3802,725.0495,715.3802,719.6722,43769978
2024-05-22,719.2036,723.0269,714.4183,719.8696,39996278
2024-05-23,719.5982,737.8515,718.8089,736.3468,40861920
2024-05-24,733.8308,749.8148,733.0908,748.4827,31060206
2024-05-27,751.5168,762.1974,749.3955,753.6628,29385440
2024-05-28,754.8468,757.7821,752.2322,755.0441,27908904
2024-05-29,748.8775,751.7634,740.6142,744.0922,35147706
2024-05-30,739.6028,751.6401,738.8381,747.3234,33755350
2024-05-31,749.3707,757.7574,746.9041,755.5621,74079588
2024-06-03,788.8373,788.8373,764.6641,775.616,72637256
2024-06-04,768.1173,769.104,717.3042,731.6848,89531240
2024-06-05,737.0622,769.4,731.2901,765.5521,81631650
2024-06-06,772.0147,772.286,762.9867,769.4493,46422870
2024-06-07,770.1154,781.61,765.6754,776.1833,36712216
2024-06-10,776.504,779.7847,768.4133,770.2387,22454058
2024-06-11,767.6241,775.024,765.7494,771.9654,29545326
2024-06-12,776.9973,783.5587,772.7547,776.578,39280436
2024-06-13,780.3274,782.276,776.5041,779.834,24120192
2024-06-14,781.4373,788.8373,778.3293,787.8013,25540554
2024-06-18,787.8013,794.5106,784.126,793.1786,32415714
2024-06-19,795.9413,823.8145,791.304,817.8699,90131196
2024-06-20,823.7652,829.5125,814.9839,823.5432,41408742
2024-06-21,825.2698,825.2698,810.6179,821.7672,51630776
2024-06-24,812.5172,826.3798,811.9006,825.0479,28544994
2024-06-25,824.4065,847.0258,824.4065,844.2631,74521548
2024-06-26,842.5858,844.0411,834.2731,839.4038,47596666
2024-06-27,836.7398,845.0771,832.0531,836.7645,55074650
2024-06-28,837.4798,841.9197,828.3038,830.6718,26476046
2024-07-01,828.7972,842.2652,828.7972,841.2291,21187024
2024-07-02,846.0637,855.8811,840.0204,853.7597,45921690
2024-07-03,883.557,885.037,870.5577,872.5311,123217802
2024-07-04,868.1404,868.1404,850.9231,852.0578,45848658
2024-07-05,831.2638,831.2638,810.1492,813.0599,82242548
2024-07-08,811.6786,816.4392,802.7246,806.7699,39087800
2024-07-09,801.6639,812.3692,799.3699,807.3372,48550878
2024-07-10,804.1059,809.0639,799.5673,802.2066,45507182
2024-07-11,801.1459,802.0832,789.8239,800.1346,44177074
2024-07-12,800.1839,808.2746,794.8313,800.5292,56049960
2024-07-15,800.924,804.032,796.8293,800.2333,33375694
2024-07-16,799.5673,802.6506,797.6187,799.074,28950324
2024-07-18,793.2773,801.1459,788.9113,796.632,33717064
2024-07-19,797.224,800.6773,791.0573,792.932,26002152
2024-07-22,797.7173,814.4905,795.5713,810.3219,53744822
2024-07-23,812.7886,812.9119,791.7973,798.408,52002152
2024-07-24,793.3513,799.6906,783.4354,791.3287,61728206
2024-07-25,785.8773,801.664,785.8773,797.52,25535732
2024-07-26,791.7973,800.0606,787.5793,798.2846,43810540
2024-07-29,796.7306,805.0433,788.492,791.822,51001148
2024-07-30,790.3173,806.4739,788.8373,797.002,54595834
2024-07-31,796.2373,803.0946,793.8692,797.1006,37820484
2024-08-01,800.6279,814.0219,798.1859,808.4719,26215174
2024-08-02,804.6239,824.1105,804.6239,818.5112,44119238
2024-08-05,809.1132,812.0239,789.8239,797.1006,41333634
2024-08-06,804.1306,805.5859,786.0253,789.9226,45116050
2024-08-07,797.7172,804.1305,790.4159,800.9239,42346264
2024-08-08,801.1706,815.6252,798.8273,810.3959,33976950
2024-08-09,814.9838,820.1885,811.9252,814.0958,26644618
2024-08-12,814.9839,826.7992,812.6899,818.9799,39316196
2024-08-13,803.1439,805.3146,789.8979,790.9092,54055042
2024-08-14,792.5373,796.0893,790.9093,793.1786,32334428
2024-08-16,803.3906,806.178,794.7573,805.1666,27849246
2024-08-19,807.9046,807.9046,801.0226,804.8953,19502164
2024-08-20,802.8726,812.0239,802.8726,807.9293,31134494
2024-08-21,803.1933,806.3753,798.112,802.0587,47630904
2024-08-22,805.1173,808.2253,803.144,804.772,21300638
2024-08-23,806.1039,806.1039,800.6772,801.6886,20333422
2024-08-26,805.2159,812.9859,805.2159,809.0392,22364266
2024-08-27,810.7413,812.7146,805.2159,807.9539,35773244
2024-08-28,807.9539,808.9406,804.2292,807.6332,26921188
2024-08-29,810.0505,811.2345,804.6979,808.3486,49052604
2024-08-30,816.9572,819.9172,799.7646,807.5346,445342100
2024-09-02,812.4185,812.4185,800.7759,802.6259,34049680
2024-09-03,806.1039,809.0392,801.4666,807.7566,37282860
2024-09-04,808.5706,811.4319,805.1172,809.9519,24682744
