Date,Open,High,Low,Close,Volume
2024-03-06,1062.8781,1095.5919,1062.8781,1079.4071,21796484
2024-03-07,1077.2918,1077.341,1065.2393,1070.4047,9963926
2024-03-11,1070.4045,1070.4045,1059.3852,1061.3037,13310362
2024-03-12,1059.6805,1077.1442,1038.6256,1059.4836,21785435
2024-03-13,1059.7789,1072.0773,1055.8434,1066.4691,24855870
2024-03-14,1062.5828,1079.407,1057.7127,1066.1248,14231421
2024-03-15,1054.7119,1068.7321,1052.7442,1062.9272,66192734
2024-03-18,1057.7128,1067.3056,1042.9547,1063.7635,8769440
2024-03-19,1061.0578,1071.1918,1057.9095,1066.4691,16708715
2024-03-20,1062.5829,1072.4217,1050.2845,1067.0104,18725251
2024-03-21,1074.3893,1082.2603,1061.7466,1064.3539,19992607
2024-03-22,1063.7143,1076.0619,1061.3038,1072.7168,17214415
2024-03-26,1063.5667,1071.5853,1059.582,1066.2231,13367635
2024-03-27,1066.2232,1074.8814,1062.1402,1066.2725,26907245
2024-03-28,1067.5023,1087.229,1067.5023,1075.6685,22070566
2024-04-01,1078.3741,1085.1627,1076.7998,1081.916,10848191
2024-04-02,1076.7999,1076.7999,1061.845,1063.7635,14380396
2024-04-03,1057.6634,1066.1739,1054.9578,1059.8279,15477184
2024-04-04,1067.2563,1068.2894,1046.2997,1061.4514,21419689
2024-04-05,1052.7442,1068.4861,1050.2353,1065.9281,15340637
2024-04-08,1060.9594,1074.1433,1058.9426,1069.6176,8023461
2024-04-09,1074.3401,1097.2644,1070.749,1089.1967,12298463
2024-04-10,1093.0337,1098.5435,1087.3273,1091.5088,10598000
2024-04-12,1085.7038,1093.9192,1078.1281,1086.5894,12216657
2024-04-15,1082.4571,1088.3112,1059.2377,1060.9595,10526597
2024-04-16,1053.2854,1057.27,1045.5619,1049.8418,11278092
2024-04-18,1056.6797,1060.6645,1033.5095,1038.4288,16564216
2024-04-19,1035.9691,1054.712,1031.1974,1050.0386,11284433
2024-04-22,1061.4024,1071.1426,1053.0886,1069.1257,10346714
2024-04-23,1082.2604,1082.2604,1065.2393,1072.6676,9848215
2024-04-24,1074.6353,1080.6862,1071.4377,1079.0627,5461309
2024-04-25,1072.4216,1107.4967,1072.3723,1095.7886,19905338
2024-04-26,1094.2144,1101.9378,1084.966,1090.033,14190059
2024-04-29,1090.1313,1144.687,1090.0329,1141.4403,28578063
2024-04-30,1141.2434,1150.6887,1128.2564,1131.8475,29568491
2024-05-02,1124.5669,1136.8653,1114.9741,1121.0741,25118334
2024-05-03,1122.8944,1138.7348,1117.1387,1123.6323,19933604
2024-05-06,1123.1403,1139.7677,1119.7459,1127.8137,14970524
2024-05-07,1129.437,1134.1596,1108.1362,1113.6459,15097728
2024-05-08,1108.3823,1113.7444,1098.0517,1104.8895,19913090
2024-05-09,1102.479,1110.6451,1092.0991,1097.7072,12229853
2024-05-10,1099.97,1110.6943,1094.116,1099.0354,8573656
2024-05-13,1094.4604,1112.4161,1088.8523,1109.8088,9707983
2024-05-14,1107.7427,1109.7104,1100.5113,1102.479,8944262
2024-05-15,1104.0039,1109.6121,1095.5427,1106.2177,10743423
2024-05-16,1114.7282,1118.221,1094.854,1112.8097,14265565
2024-05-17,1112.8096,1125.5507,1102.5281,1112.2684,8641784
2024-05-21,1104.1023,1115.5153,1098.2483,1102.8724,10452900
2024-05-22,1106.8571,1107.7426,1080.3909,1093.1813,17527411
2024-05-23,1097.5596,1118.6637,1093.4765,1116.204,13787687
2024-05-24,1111.7766,1116.6959,1106.0209,1113.6951,6312670
2024-05-27,1113.6459,1129.2895,1103.4629,1111.5798,11599857
2024-05-28,1114.2362,1116.8926,1106.8571,1108.7756,9311718
2024-05-29,1097.0677,1105.4307,1080.7846,1084.2281,19268547
2024-05-30,1079.3087,1102.9217,1079.2104,1095.7394,15255387
2024-05-31,1099.9701,1112.3669,1093.3289,1102.9709,26197718
2024-06-03,1151.1315,1154.0831,1117.975,1141.2927,25699977
2024-06-04,1139.2265,1140.7024,1036.5594,1054.1707,43476837
2024-06-05,1067.5023,1105.1354,1034.0998,1090.7709,42172104
2024-06-06,1099.9701,1099.9701,1078.9152,1092.4927,18574162
2024-06-07,1092.4927,1110.104,1085.8023,1103.6104,17197635
2024-06-10,1098.0023,1114.9248,1097.1167,1105.6765,10851455
2024-06-11,1101.6919,1110.842,1093.083,1100.1669,12250002
2024-06-12,1102.9217,1115.1217,1094.0668,1101.4951,16096514
2024-06-13,1104.1022,1105.0861,1087.1796,1089.4917,12494254
2024-06-14,1096.0345,1096.0345,1081.7191,1087.8192,11377979
2024-06-18,1095.9853,1116.7451,1083.4409,1104.7418,18306176
2024-06-19,1109.7595,1146.7532,1107.9886,1125.9934,34309514
2024-06-20,1135.4386,1141.2926,1117.1877,1138.1443,15475933
2024-06-21,1144.7855,1151.033,1132.0935,1139.9645,69259425
2024-06-24,1136.0289,1156.6903,1134.0612,1151.2297,12210295
2024-06-25,1151.3774,1186.5508,1148.8193,1178.6306,27309845
2024-06-26,1182.6155,1203.1292,1174.5969,1198.3574,25403461
2024-06-27,1208.5404,1215.0831,1189.6008,1200.2267,20516632
2024-06-28,1207.2123,1207.2123,1177.0566,1180.2542,12507092
2024-07-01,1180.2541,1195.7501,1172.8259,1192.3065,8636894
2024-07-02,1197.3734,1197.3734,1166.4307,1171.3992,16153925
2024-07-03,1177.5484,1196.242,1160.429,1182.2218,22330897
2024-07-04,1209.18,1215.034,1194.7171,1213.1155,15275791
2024-07-05,1205.2445,1222.5606,1201.1614,1213.509,9535575
2024-07-08,1209.0816,1219.5106,1197.2751,1215.1324,6617190
2024-07-09,1215.0339,1230.038,1209.4752,1228.1195,13366874
2024-07-10,1232.5469,1232.5469,1216.4114,1223.1509,18226503
2024-07-11,1226.2502,1237.5156,1205.2937,1218.4775,11307116
2024-07-12,1215.9687,1232.6946,1210.2622,1213.0171,12208290
2024-07-15,1213.2138,1218.4775,1204.3099,1210.1146,15612671
2024-07-16,1210.1638,1224.9219,1209.1799,1219.9042,12320605
2024-07-18,1214.9849,1236.1873,1211.8365,1230.1366,10999632
2024-07-19,1223.938,1230.3332,1220.2485,1228.5131,7958817
2024-07-22,1220.0027,1225.2173,1213.0172,1221.1342,9958965
