Date,Open,High,Low,Close,Volume
2024-03-06,1509.0119,1525.3466,1483.7801,1522.8988,6420684
2024-03-07,1522.0044,1533.161,1510.33,1521.8632,6348359
2024-03-11,1514.0489,1519.3683,1495.078,1506.9407,6752895
2024-03-12,1506.3757,1529.9128,1504.1632,1518.5679,4614222
2024-03-13,1518.5207,1529.4419,1505.0105,1517.1085,5688997
2024-03-14,1519.9331,1560.7464,1513.9076,1556.5569,8803799
2024-03-15,1545.0706,1549.4957,1523.6518,1538.3861,11809997
2024-03-18,1534.6203,1537.1153,1505.293,1508.8707,4958904
2024-03-19,1499.1733,1505.4342,1466.8333,1470.0814,6870411
2024-03-20,1471.5409,1482.7916,1461.5141,1463.9619,4759059
2024-03-21,1472.4823,1484.6745,1453.0877,1463.7264,11062497
2024-03-22,1431.9984,1439.4361,1410.5325,1420.5593,14673890
2024-03-26,1404.6954,1419.2413,1400.8353,1405.3074,8351081
2024-03-27,1408.4613,1411.2857,1394.8569,1397.0222,6857402
2024-03-28,1400.1293,1423.3369,1400.1293,1410.3915,12499530
2024-04-01,1435.7644,1440.4247,1405.4486,1407.9435,6580002
2024-04-02,1397.9638,1405.7782,1394.1978,1396.0808,7279400
2024-04-03,1392.456,1407.6139,1388.6901,1394.0095,8736248
2024-04-04,1403.3303,1408.1318,1382.0997,1399.7054,11186915
2024-04-05,1393.4448,1399.7056,1389.6788,1392.5503,5072482
2024-04-08,1396.2221,1403.7068,1387.8428,1390.2906,6610887
2024-04-09,1402.8125,1425.2199,1400.2705,1407.3787,9423230
2024-04-10,1412.5569,1421.501,1397.6815,1418.6295,6744595
2024-04-12,1415.9932,1418.6294,1392.9268,1397.8696,12275616
2024-04-15,1393.3975,1404.6482,1375.5564,1382.241,8531224
2024-04-16,1366.0945,1370.0017,1330.3652,1331.6832,16173541
2024-04-18,1337.9442,1360.1633,1325.1401,1336.2025,22107945
2024-04-19,1303.9564,1343.3575,1298.0722,1328.6704,20603621
2024-04-22,1336.8144,1352.7725,1330.3653,1348.9125,5859087
2024-04-23,1358.5628,1362.1875,1349.1479,1357.9979,4856174
2024-04-24,1359.7866,1359.7866,1343.546,1347.0294,4268213
2024-04-25,1336.9085,1360.3515,1336.9085,1354.2788,9089398
2024-04-26,1355.4557,1360.8222,1343.4989,1346.5587,8062444
2024-04-29,1346.2762,1355.55,1344.6758,1350.7954,5055957
2024-04-30,1350.7483,1352.4901,1334.6019,1337.4264,6936588
2024-05-02,1330.3181,1340.6745,1329.2354,1331.6832,10076354
2024-05-03,1338.8856,1341.4277,1321.0915,1333.425,8842345
2024-05-06,1336.9085,1361.1046,1334.1781,1342.4633,6445422
2024-05-07,1341.5688,1358.8922,1332.766,1356.6326,6080661
2024-05-08,1351.266,1355.5027,1342.1807,1343.7812,6234983
2024-05-09,1344.0166,1365.1058,1341.4746,1355.3145,6088406
2024-05-10,1351.0778,1351.9251,1330.318,1341.5217,8777481
2024-05-13,1341.616,1341.616,1328.6234,1340.1566,3735954
2024-05-14,1342.934,1349.8539,1335.0726,1341.3334,3463230
2024-05-15,1342.5574,1348.018,1335.5433,1336.8613,4327544
2024-05-16,1350.0422,1370.5666,1343.4989,1368.307,9249145
2024-05-17,1371.7434,1371.7434,1355.0321,1359.7866,7542860
2024-05-21,1346.3233,1360.1631,1344.8169,1350.2305,6752663
2024-05-22,1345.1465,1374.5208,1344.4404,1369.6722,7173285
2024-05-23,1369.578,1391.6558,1365.153,1386.2423,8641428
2024-05-24,1382.3351,1389.1608,1374.5678,1379.3694,5277938
2024-05-27,1385.7245,1393.021,1374.8033,1385.2538,5821844
2024-05-28,1389.1609,1389.6317,1374.8504,1381.2054,6186922
