Date,Open,High,Low,Close,Volume
2024-03-06,1482.4774,1497.9132,1467.6373,1491.9573,7805676
2024-03-07,1491.9326,1492.0566,1464.7091,1468.0593,8315726
2024-03-11,1478.0603,1478.0603,1452.7476,1455.8248,11277130
2024-03-12,1455.8247,1477.0675,1454.2613,1464.585,9432678
2024-03-13,1468.903,1472.2035,1417.285,1421.6527,13522134
2024-03-14,1429.1223,1437.8825,1415.0267,1420.9578,18571102
2024-03-15,1415.4734,1422.695,1402.5193,1407.8052,19223818
2024-03-18,1409.5673,1431.1326,1406.1178,1428.8992,9169392
2024-03-19,1418.2528,1427.0378,1406.8373,1414.7786,8275764
2024-03-20,1417.4587,1434.3835,1413.5626,1433.1427,8488806
2024-03-21,1441.8532,1447.1887,1434.0609,1440.3146,13006936
2024-03-22,1439.3219,1449.2733,1436.7162,1444.3348,19527608
2024-03-26,1434.3835,1441.7292,1428.4276,1430.9836,11415906
2024-03-27,1437.3614,1488.9793,1436.3687,1481.8818,16326644
2024-03-28,1481.9068,1494.8856,1467.7863,1474.9333,21854364
2024-04-01,1481.5096,1482.9986,1471.6079,1473.8662,5013880
2024-04-02,1473.0969,1483.0234,1464.163,1476.0251,8910166
2024-04-03,1471.1861,1473.5437,1458.108,1460.7881,7008292
2024-04-04,1468.8781,1468.8781,1439.3467,1452.1768,14490272
2024-04-05,1450.1418,1459.9939,1445.3026,1449.3724,7442298
2024-04-08,1452.2264,1480.0206,1450.2659,1475.0574,8357118
2024-04-09,1478.0602,1478.8544,1451.7549,1452.8965,7071414
2024-04-10,1455.5767,1476.075,1455.5767,1468.7045,9138330
2024-04-12,1465.0317,1475.5538,1452.3257,1456.3708,15551012
2024-04-15,1450.2659,1471.2357,1435.6987,1454.0627,12902062
2024-04-16,1442.672,1460.3661,1440.2649,1454.981,9366184
2024-04-18,1452.7476,1475.0823,1448.6281,1453.5665,19005692
2024-04-19,1446.0721,1463.1705,1432.4231,1459.324,15741778
2024-04-22,1461.6318,1471.9305,1457.016,1468.9774,10350362
2024-04-23,1468.1338,1482.5272,1444.8561,1448.6033,14605554
2024-04-24,1452.7476,1457.7605,1438.8504,1439.5205,10462776
2024-04-25,1431.9018,1457.1896,1430.9092,1449.2484,15943926
2024-04-26,1453.1942,1454.2365,1439.3467,1441.8781,9413848
2024-04-29,1439.3467,1457.1152,1439.3467,1454.2614,7247974
2024-04-30,1457.2146,1472.1788,1452.1272,1456.2219,11474262
2024-05-02,1461.1851,1466.4709,1453.3679,1455.7751,14512646
2024-05-03,1460.1925,1464.1134,1405.7455,1423.4644,17226958
2024-05-06,1424.9533,1429.4202,1407.5819,1409.0957,7394208
2024-05-07,1405.5717,1410.3116,1381.7729,1391.1782,14517472
2024-05-08,1387.2324,1422.4219,1387.2324,1408.1278,9439002
2024-05-09,1402.6185,1413.2895,1379.7875,1383.8822,11009612
2024-05-10,1386.488,1399.6406,1377.8767,1397.0846,10505096
2024-05-13,1389.6149,1396.6379,1373.8317,1392.3943,8456620
2024-05-14,1390.682,1416.5902,1389.739,1409.6416,7188300
2024-05-15,1410.0636,1419.4689,1402.6435,1405.8696,5046534
2024-05-16,1408.1278,1417.012,1387.7536,1414.8778,14711774
2024-05-17,1412.5949,1426.6408,1402.8668,1425.1519,10916476
2024-05-21,1415.126,1431.2318,1415.126,1425.5737,11176128
2024-05-22,1425.7225,1457.9838,1425.7225,1449.9185,10281604
2024-05-23,1447.834,1481.2615,1444.31,1475.132,14608260
2024-05-24,1472.7247,1477.5639,1465.255,1469.3745,7094776
2024-05-27,1469.3497,1473.9904,1450.812,1455.4774,6629010
2024-05-28,1457.2146,1467.6374,1442.0766,1445.5012,7820162
2024-05-29,1435.8725,1447.288,1427.8816,1430.1896,7383556
2024-05-30,1424.9532,1429.8173,1409.6664,1414.3815,13206858
2024-05-31,1420.7842,1431.6537,1411.8006,1419.8907,31069832
2024-06-03,1472.1043,1503.3729,1448.2807,1499.2285,21527942
2024-06-04,1487.0438,1487.0438,1349.3132,1387.0092,36709098
2024-06-05,1411.5525,1420.6353,1373.9309,1410.3116,17464890
2024-06-06,1424.457,1433.093,1410.9072,1421.0819,17855722
2024-06-07,1418.0046,1461.185,1416.0193,1459.15,18558696
2024-06-10,1459.1501,1482.3782,1457.2888,1460.5895,9251760
2024-06-11,1458.2072,1462.8479,1443.9875,1445.9728,11774902
2024-06-12,1446.7916,1465.1557,1444.4837,1452.5737,10081742
2024-06-13,1461.1851,1461.4333,1449.3726,1454.4847,9181160
2024-06-14,1459.1999,1468.8038,1446.5187,1466.6945,8157998
2024-06-18,1476.4224,1476.4721,1460.54,1470.1439,7196766
2024-06-19,1476.5712,1476.5712,1445.3027,1447.9332,8725874
2024-06-20,1448.2806,1471.9554,1439.446,1462.8726,16113776
2024-06-21,1462.7982,1463.8653,1429.991,1443.5159,31170360
2024-06-24,1434.9046,1438.8503,1426.9385,1430.8843,8878386
2024-06-25,1432.3982,1445.2283,1430.4129,1443.4663,7045386
2024-06-26,1435.4258,1507.815,1434.5076,1502.9014,22014882
2024-06-27,1502.6284,1526.2039,1494.9354,1519.3051,28383030
2024-06-28,1519.7765,1569.3843,1519.7765,1553.8989,28957336
2024-07-01,1551.0451,1567.7961,1544.2454,1548.6875,7724306
