Date,Open,High,Low,Close,Volume
2024-03-06,3745.663,3818.7653,3712.2768,3811.5442,1744204
2024-03-07,3812.2005,3867.5313,3786.5982,3853.0891,2688905
2024-03-11,3834.7078,3894.7277,3834.7078,3865.9839,2304068
2024-03-12,3865.984,3966.8925,3864.7646,3931.5369,4039801
2024-03-13,3943.4945,3977.2556,3874.9404,3890.9771,2837260
2024-03-14,3895.15,3962.2502,3831.8945,3945.9324,2919608
2024-03-15,3931.8651,3975.3794,3917.2352,3956.8577,3373143
2024-03-18,3953.1062,3990.1497,3861.7635,3894.2585,1526904
2024-03-19,3799.3056,3805.6359,3719.9201,3729.9546,8931209
2024-03-20,3738.1134,3768.1234,3713.9179,3723.9524,1817913
2024-03-21,3741.9119,3759.1206,3702.4769,3725.8752,3829582
2024-03-22,3654.6481,3693.0984,3615.2601,3667.6836,5852485
2024-03-26,3634.0166,3701.2575,3630.6873,3636.3611,3440925
2024-03-27,3646.677,3652.7728,3591.2523,3602.0371,1968575
2024-03-28,3610.6652,3671.5291,3601.6622,3635.2358,4311783
2024-04-01,3655.3046,3688.6907,3646.2548,3673.1699,1569676
2024-04-02,3648.0834,3666.6991,3632.1406,3642.269,2142666
2024-04-03,3611.5089,3733.4242,3611.5089,3701.8201,3973090
2024-04-04,3728.6415,3778.111,3690.5196,3754.3376,3394637
2024-04-05,3730.6112,3753.1186,3714.1995,3731.7834,1636819
2024-04-08,3735.3003,3781.8625,3713.7307,3725.5002,2302538
2024-04-09,3736.2379,3766.1073,3680.954,3701.1169,1876992
2024-04-10,3710.3543,3742.0523,3674.3424,3736.8474,2101965
2024-04-12,3724.0461,3763.7624,3700.1319,3752.5554,4354821
2024-04-15,3752.5555,3811.4501,3675.327,3696.0994,4200329
2024-04-16,3659.3376,3684.3771,3622.6224,3631.9536,3051420
2024-04-18,3635.7046,3691.2229,3610.5712,3621.825,3476284
2024-04-19,3599.3177,3612.9629,3564.5248,3588.2515,2957749
2024-04-22,3598.3798,3636.83,3574.9345,3624.2634,1728883
2024-04-23,3635.9388,3652.7725,3620.5119,3633.7349,1807586
2024-04-24,3648.0839,3655.5864,3586.6104,3592.8,1317312
2024-04-25,3574.1838,3632.75,3573.9963,3612.634,2856271
2024-04-26,3615.4012,3635.7049,3566.0725,3583.7034,2039178
2024-04-29,3599.3174,3636.6423,3581.6865,3629.5149,1110693
2024-04-30,3631.2033,3640.347,3573.059,3583.0466,2203078
2024-05-02,3543.0963,3630.3596,3543.0963,3623.0447,2491044
2024-05-03,3648.2242,3651.4599,3561.43,3604.3816,2962234
2024-05-06,3613.3846,3694.9272,3613.3846,3677.2026,2053831
2024-05-07,3686.3465,3739.9892,3670.1223,3731.502,2062112
2024-05-08,3714.6679,3736.519,3693.6611,3729.626,1247685
2024-05-09,3715.6061,3724.0464,3666.8869,3713.918,1726486
2024-05-10,3716.1687,3726.4847,3643.4415,3651.741,1672489
2024-05-13,3642.9254,3709.041,3629.3271,3702.2888,931326
2024-05-14,3691.2228,3700.4134,3650.803,3658.5869,1058317
2024-05-15,3661.6821,3682.7359,3634.4856,3639.0808,1115021
2024-05-16,3675.6375,3693.0185,3630.6731,3684.9419,2599399
2024-05-17,3701.9927,3702.9373,3617.9209,3621.7939,2765804
2024-05-21,3618.4878,3631.8542,3599.0757,3608.6636,1908117
2024-05-22,3622.6442,3628.5481,3606.1605,3619.8103,1311168
2024-05-23,3628.2645,3688.7679,3613.6701,3677.8574,2095742
2024-05-24,3663.4993,3668.7421,3631.4293,3636.3413,1309452
2024-05-27,3641.5371,3691.933,3628.643,3634.0273,1841538
2024-05-28,3644.3705,3655.7061,3617.921,3627.2727,1801993
2024-05-29,3635.7739,3635.7739,3589.5817,3593.0295,1568095
2024-05-30,3567.8561,3584.2925,3509.7143,3529.2209,2919230
2024-05-31,3532.9045,3542.1619,3451.4304,3467.678,10956800
2024-06-03,3526.1033,3543.8151,3491.341,3497.8118,2156773
2024-06-04,3495.1194,3537.6276,3392.6274,3509.2888,3395997
2024-06-05,3510.2335,3574.2792,3495.1194,3538.9973,2799670
2024-06-06,3571.6346,3627.273,3534.3218,3618.2991,4328036
2024-06-07,3624.8168,3698.2143,3624.8168,3678.3298,4552445
2024-06-10,3679.322,3689.6183,3629.1622,3645.032,1734661
2024-06-11,3632.0904,3665.1051,3628.3119,3638.7974,1419898
2024-06-12,3659.8623,3677.9048,3615.5121,3619.4795,2177001
2024-06-13,3643.2371,3674.5987,3638.7029,3663.4048,1932323
2024-06-14,3673.6539,3673.6539,3616.0316,3619.8574,1860730
2024-06-18,3614.1896,3629.2563,3584.9061,3603.8459,1774045
2024-06-19,3615.701,3621.5579,3582.9225,3591.188,1509050
2024-06-20,3585.8036,3598.9811,3570.7368,3577.5381,2846526
2024-06-21,3615.087,3663.0741,3587.7401,3599.7368,4642195
2024-06-24,3597.8476,3643.4259,3581.3639,3605.4519,1702154
2024-06-25,3605.6406,3634.5934,3582.875,3625.9028,1338808
2024-06-26,3631.6182,3652.8251,3628.312,3642.3398,1639845
2024-06-27,3618.8655,3723.7191,3606.6799,3716.3037,4526556
2024-06-28,3700.8591,3740.7223,3682.0139,3687.9648,2731571
2024-07-01,3668.9305,3780.113,3668.9305,3757.9143,2658723
2024-07-02,3772.4622,3800.6119,3762.024,3794.9441,2307449
2024-07-03,3797.4,3803.1623,3735.9992,3745.6816,1821198
2024-07-04,3778.3656,3823.2354,3761.5985,3798.2971,2518001
2024-07-05,3787.9537,3803.7762,3767.1719,3789.6541,1668616
2024-07-08,3799.2895,3808.0273,3757.7732,3772.0842,1758882
2024-07-09,3764.3377,3785.0723,3754.986,3764.8101,1305801
